File_Name,PSNR_dB,SSIM,LPIPS
000488.png,27.3743,0.8613,0.2953
000489.png,26.3899,0.8734,0.2698
000490.png,25.3036,0.8614,0.297
000491.png,25.8819,0.8705,0.2783
000492.png,24.8272,0.8465,0.3035
000493.png,25.822,0.4138,0.7253
000494.png,24.0957,0.3473,0.7646
000495.png,24.2984,0.3419,0.7962
000496.png,18.3803,0.7569,0.4168
000497.png,24.0592,0.7511,0.3761
000498.png,23.6505,0.7595,0.3469
000499.png,23.7936,0.729,0.389
000500.png,25.6866,0.702,0.4636
000501.png,25.892,0.7346,0.4559
000502.png,26.1893,0.7348,0.4543
000503.png,26.3187,0.7413,0.4507
000504.png,26.1519,0.8626,0.2934
000505.png,23.2617,0.8751,0.2786
000506.png,22.9993,0.8825,0.2546
000507.png,23.0149,0.8812,0.2474
000508.png,31.4724,0.9215,0.491
000509.png,22.6094,0.7297,0.388
000510.png,24.2048,0.735,0.3946
000511.png,24.403,0.7466,0.3912
000512.png,27.8618,0.8438,0.4525
000513.png,17.2357,0.6792,0.3608
000514.png,17.8572,0.6831,0.3791
000515.png,17.2007,0.6528,0.3759
000516.png,25.7684,0.6346,0.5359
000517.png,24.9688,0.648,0.4825
000518.png,25.1227,0.6304,0.4966
000519.png,25.1166,0.6326,0.4938
000520.png,23.4755,0.7352,0.3948
000521.png,31.0067,0.7574,0.4877
000522.png,31.9419,0.794,0.5142
000523.png,30.6917,0.7669,0.4778
000524.png,20.7018,0.8086,0.3235
000525.png,30.2424,0.6901,0.5517
000526.png,30.503,0.6942,0.5708
000527.png,30.5781,0.6963,0.5612
000528.png,32.8918,0.8675,0.519
000529.png,23.4394,0.8024,0.4837
000530.png,23.102,0.7521,0.4828
000531.png,22.0706,0.7568,0.4676
000532.png,24.8226,0.8485,0.4391
000533.png,23.4014,0.7625,0.4206
000534.png,23.6606,0.8005,0.3666
000535.png,23.937,0.8075,0.3623
000536.png,35.0372,0.9421,0.3093
000537.png,32.7749,0.9068,0.3755
000538.png,33.1948,0.9177,0.3643
000539.png,34.0304,0.9305,0.3391
000540.png,26.9921,0.7157,0.4609
000541.png,34.6408,0.8389,0.5406
000542.png,33.5697,0.8087,0.5682
000543.png,34.0834,0.825,0.5551
000544.png,29.5131,0.7835,0.6158
000545.png,29.0616,0.8806,0.3698
000546.png,28.8212,0.8817,0.3725
000547.png,28.2263,0.8857,0.3307
000548.png,33.8703,0.9039,0.4004
000549.png,32.0947,0.7566,0.1851
000550.png,33.7319,0.7373,0.2262
000551.png,31.6546,0.7479,0.205
000552.png,24.3539,0.8068,0.4649
000553.png,32.4761,0.8813,0.3135
000554.png,31.8219,0.8828,0.3136
000555.png,31.6313,0.8782,0.323
000556.png,38.2692,0.9429,0.2532
000557.png,36.2175,0.9313,0.3752
000558.png,32.5686,0.9105,0.3553
000559.png,35.5235,0.9247,0.3889
000560.png,25.1289,0.8052,0.3744
000561.png,22.3938,0.6259,0.5142
000562.png,22.396,0.6263,0.5169
000563.png,22.7577,0.6385,0.5222
000564.png,31.2026,0.8136,0.486
000565.png,22.2051,0.6207,0.5037
000566.png,22.277,0.6295,0.494
000567.png,22.9749,0.5948,0.5358
000568.png,23.0485,0.768,0.381
000569.png,25.1243,0.8069,0.3782
000570.png,25.1857,0.8016,0.37
000571.png,25.1536,0.8075,0.3848
000572.png,24.2747,0.7554,0.4048
000573.png,31.1881,0.8922,0.4501
000574.png,34.8734,0.9129,0.4464
000575.png,35.0241,0.9177,0.4497
000576.png,24.0736,0.9001,0.2223
000577.png,25.0675,0.8542,0.3475
000578.png,24.4989,0.785,0.3956
000579.png,24.879,0.785,0.4295
000580.png,30.8549,0.7437,0.5498
000581.png,28.7288,0.9359,0.2224
000582.png,28.704,0.929,0.2242
000583.png,29.4087,0.928,0.223
000584.png,28.6769,0.6198,0.6144
000585.png,25.9195,0.4837,0.6588
000586.png,26.4468,0.4907,0.6595
000587.png,26.6255,0.4916,0.6778
000588.png,32.4768,0.9172,0.31
000589.png,28.7718,0.6251,0.5931
000590.png,30.6977,0.676,0.5911
000591.png,31.1946,0.6962,0.5947
000592.png,31.3224,0.8947,0.3257
000593.png,23.1235,0.815,0.3969
000594.png,25.0057,0.8575,0.3634
000595.png,23.3781,0.8241,0.3943
000596.png,29.0069,0.8856,0.4624
000597.png,32.428,0.7471,0.568
000598.png,32.4324,0.7395,0.5505
000599.png,31.2454,0.7062,0.5432
000600.png,30.3155,0.901,0.3451
000601.png,33.2173,0.878,0.3704
000602.png,32.8448,0.8734,0.3854
000603.png,32.4253,0.8559,0.3723
000604.png,22.4149,0.8645,0.39
000605.png,23.5029,0.8687,0.2521
000606.png,23.5559,0.857,0.2658
000607.png,24.2291,0.8849,0.2507
000608.png,24.8507,0.8352,0.4076
000609.png,29.908,0.6733,0.5707
000610.png,29.495,0.6621,0.5598
000611.png,29.7381,0.6336,0.5884
000612.png,31.4584,0.9089,0.3102
000613.png,24.4255,0.8464,0.3236
000614.png,25.2161,0.824,0.3536
000615.png,25.2873,0.8224,0.3529
000616.png,28.8856,0.9045,0.4492
000617.png,26.1161,0.7037,0.4692
000618.png,27.1407,0.7274,0.4809
000619.png,26.7862,0.7041,0.4948
000620.png,28.7087,0.8262,0.377
000621.png,22.5463,0.6823,0.4349
000622.png,22.7321,0.6816,0.4389
000623.png,22.8064,0.6892,0.4195
000624.png,23.0897,0.5449,0.1853
000625.png,10.6895,0.3303,0.6016
000626.png,10.767,0.3384,0.596
000627.png,10.7002,0.3332,0.6048
000628.png,28.4111,0.8386,0.3961
000629.png,26.0806,0.4129,0.7433
000630.png,26.0184,0.4223,0.7139
000631.png,26.0082,0.4147,0.7393
000632.png,27.2161,0.7778,0.4636
000633.png,29.5471,0.8308,0.4327
000634.png,30.7232,0.882,0.403
000635.png,30.1658,0.8619,0.4075
000636.png,27.6243,0.8303,0.3171
000637.png,27.3607,0.8757,0.3571
000638.png,27.3604,0.8659,0.3566
000639.png,26.8378,0.8572,0.3766
000640.png,26.314,0.7421,0.4095
000641.png,20.6342,0.3875,0.6358
000642.png,20.2379,0.3807,0.6561
000643.png,35.2997,0.9051,0.435
000644.png,25.7005,0.6564,0.4848
000645.png,24.8246,0.7228,0.4481
000646.png,25.5318,0.7451,0.4392
000647.png,24.7726,0.7022,0.4543
000648.png,24.1773,0.8517,0.3444
000649.png,25.7848,0.8803,0.2065
000650.png,25.9541,0.8846,0.1911
000651.png,25.9716,0.885,0.1831
000652.png,30.3523,0.8909,0.2823
000653.png,27.0704,0.8422,0.3283
000654.png,26.9364,0.837,0.3225
000655.png,26.9264,0.8332,0.3234
000656.png,25.5884,0.7775,0.3928
000657.png,24.3118,0.858,0.3215
000658.png,24.2797,0.8617,0.3149
000659.png,22.8983,0.8458,0.3045
000660.png,30.6975,0.8957,0.3301
000661.png,32.1664,0.7725,0.5173
000662.png,31.8651,0.7649,0.5204
000663.png,30.2512,0.7217,0.5351
000664.png,14.6334,0.6449,0.3722
000665.png,28.9118,0.6056,0.5549
000666.png,34.9767,0.8856,0.241
000667.png,34.2259,0.8828,0.2476
000668.png,30.7832,0.8845,0.3195
000669.png,27.5287,0.7356,0.433
000670.png,27.6279,0.7575,0.4079
000671.png,27.4337,0.7344,0.4276
000672.png,20.4381,0.9251,0.1701
000673.png,25.9847,0.8887,0.3129
000674.png,25.0262,0.8689,0.3387
000675.png,25.9333,0.8994,0.3008
000676.png,21.5026,0.8481,0.2385
000677.png,19.0701,0.8168,0.27
000678.png,19.3843,0.8318,0.2674
000679.png,19.011,0.8212,0.2739
000680.png,28.657,0.914,0.2569
000681.png,29.038,0.9272,0.2208
000682.png,28.3579,0.9075,0.2492
000683.png,29.1352,0.9238,0.2382
000684.png,26.4356,0.8925,0.276
000685.png,29.2588,0.8488,0.3711
000686.png,28.7006,0.8114,0.3919
000687.png,28.8181,0.7976,0.4159
000688.png,27.4434,0.851,0.3032
000689.png,26.0727,0.9232,0.2575
000690.png,25.5305,0.9045,0.2938
000691.png,25.961,0.9137,0.2733
000692.png,29.632,0.9054,0.341
000693.png,33.5524,0.9282,0.2484
000694.png,28.5212,0.9099,0.2582
000695.png,31.954,0.9233,0.2431
000696.png,27.9999,0.5268,0.6771
000697.png,29.0681,0.7932,0.4416
000698.png,29.9528,0.8104,0.4284
000699.png,30.0055,0.8179,0.4223
000700.png,32.4684,0.9055,0.3062
000701.png,26.5991,0.564,0.5374
000702.png,26.9083,0.5676,0.5459
000703.png,26.4668,0.5662,0.5365
000704.png,30.2741,0.8093,0.5182
